Time,FPos,Idx,Total,Left,Top,Right,Bottom,Label,Class
00:00:00, 8, 1, 1, 184, 310, 298, 478, 0, person
00:00:00, 28, 1, 1, 184, 310, 298, 477, 0, person
00:00:01, 35, 1, 1, 184, 311, 297, 477, 0, person
00:00:01, 41, 1, 1, 184, 310, 297, 478, 0, person
00:00:01, 53, 1, 1, 184, 309, 292, 478, 0, person
00:00:01, 59, 1, 1, 183, 309, 291, 477, 0, person
00:00:02, 66, 1, 1, 183, 308, 295, 477, 0, person
00:00:02, 78, 1, 1, 183, 308, 291, 476, 0, person
00:00:02, 84, 1, 1, 183, 309, 289, 477, 0, person
00:00:02, 89, 1, 1, 184, 308, 294, 478, 0, person
00:00:03, 96, 1, 1, 184, 308, 294, 477, 0, person
00:00:03, 102, 1, 1, 184, 308, 293, 478, 0, person
00:00:03, 114, 1, 1, 184, 306, 294, 477, 0, person
00:00:04, 120, 1, 1, 184, 307, 294, 478, 0, person
00:00:04, 126, 1, 1, 184, 307, 294, 478, 0, person
00:00:05, 170, 1, 1, 132, 322, 241, 479, 0, person
00:00:05, 176, 1, 1, 117, 332, 239, 480, 0, person
00:00:06, 182, 1, 1, 111, 332, 243, 478, 0, person
00:00:06, 201, 1, 1, 135, 317, 266, 479, 0, person
00:00:06, 207, 1, 1, 134, 323, 294, 481, 0, person
00:00:07, 220, 1, 1, 185, 318, 290, 478, 0, person
00:00:07, 233, 1, 1, 155, 331, 268, 476, 0, person
00:00:07, 239, 1, 1, 141, 341, 244, 478, 0, person
00:00:08, 252, 1, 1, 125, 334, 237, 477, 0, person
00:00:08, 259, 1, 1, 122, 331, 238, 478, 0, person
00:00:09, 279, 1, 1, 124, 338, 272, 477, 0, person
00:00:09, 285, 1, 1, 130, 331, 271, 477, 0, person
00:00:09, 292, 1, 1, 133, 327, 272, 478, 0, person
00:00:09, 298, 1, 1, 130, 329, 272, 479, 0, person
00:00:10, 305, 1, 1, 123, 334, 270, 478, 0, person
00:00:10, 324, 1, 1, 119, 337, 233, 479, 0, person
00:00:11, 331, 1, 1, 119, 339, 244, 477, 0, person
00:00:11, 344, 1, 1, 124, 328, 266, 480, 0, person
00:00:12, 363, 1, 1, 176, 299, 280, 477, 0, person
00:00:12, 370, 1, 1, 178, 297, 270, 476, 0, person
00:00:12, 377, 1, 1, 178, 298, 270, 477, 0, person
00:00:13, 391, 1, 1, 177, 300, 271, 478, 0, person
00:00:13, 398, 1, 1, 176, 298, 270, 478, 0, person
00:00:13, 405, 1, 1, 173, 298, 271, 477, 0, person
