Time,FPos,Idx,Total,Left,Top,Right,Bottom,Label,Class
00:00:00, 9, 1, 1, 169, 299, 297, 474, 0, person
00:00:00, 15, 1, 1, 169, 299, 297, 474, 0, person
00:00:01, 35, 1, 1, 170, 301, 295, 473, 0, person
00:00:01, 46, 1, 1, 170, 299, 298, 475, 0, person
00:00:01, 58, 1, 1, 170, 300, 280, 475, 0, person
00:00:02, 65, 1, 1, 171, 300, 297, 475, 0, person
00:00:02, 71, 1, 1, 170, 299, 281, 477, 0, person
00:00:02, 77, 1, 1, 171, 296, 301, 476, 0, person
00:00:02, 89, 1, 1, 171, 295, 294, 477, 0, person
00:00:03, 102, 1, 1, 170, 296, 298, 475, 0, person
00:00:03, 109, 1, 1, 171, 296, 298, 474, 0, person
00:00:03, 115, 1, 1, 171, 297, 306, 475, 0, person
00:00:04, 122, 1, 2, 170, 301, 291, 474, 0, person
00:00:04, 122, 2, 2, 323, 356, 365, 395, 28, suitcase
00:00:04, 135, 1, 1, 178, 313, 268, 476, 0, person
00:00:05, 161, 1, 1, 172, 304, 268, 475, 0, person
00:00:05, 167, 1, 1, 170, 303, 268, 476, 0, person
00:00:06, 180, 1, 1, 170, 300, 270, 477, 0, person
00:00:06, 186, 1, 1, 171, 300, 268, 478, 0, person
00:00:06, 205, 1, 1, 171, 300, 270, 477, 0, person
00:00:07, 211, 1, 1, 171, 299, 272, 478, 0, person
00:00:07, 231, 1, 1, 170, 300, 273, 479, 0, person
00:00:08, 244, 1, 1, 170, 299, 276, 479, 0, person
00:00:08, 250, 1, 1, 172, 298, 279, 479, 0, person
00:00:08, 257, 1, 1, 171, 301, 288, 475, 0, person
