Time,FPos,Idx,Total,Left,Top,Right,Bottom,Label,Class
00:00:00, 8, 1, 1, 281, 312, 413, 480, 0, person
00:00:00, 20, 1, 1, 281, 319, 423, 480, 0, person
00:00:01, 32, 1, 1, 282, 299, 401, 479, 0, person
00:00:01, 44, 1, 1, 275, 287, 384, 480, 0, person
00:00:01, 50, 1, 1, 271, 285, 393, 481, 0, person
00:00:01, 56, 1, 1, 268, 279, 391, 479, 0, person
00:00:02, 68, 1, 1, 270, 271, 382, 480, 0, person
00:00:02, 74, 1, 1, 270, 270, 376, 478, 0, person
00:00:03, 92, 1, 1, 267, 264, 369, 479, 0, person
00:00:03, 105, 1, 1, 269, 261, 362, 478, 0, person
00:00:03, 118, 1, 1, 269, 267, 371, 478, 0, person
00:00:04, 149, 1, 1, 264, 256, 375, 478, 0, person
00:00:05, 161, 1, 2, 263, 253, 371, 478, 0, person
00:00:05, 161, 2, 2, 346, 450, 490, 482, 38, tennis racket
00:00:05, 174, 1, 2, 265, 261, 365, 478, 0, person
00:00:05, 174, 2, 2, 347, 449, 493, 480, 38, tennis racket
00:00:06, 180, 1, 2, 270, 262, 371, 477, 0, person
00:00:06, 180, 2, 2, 346, 449, 493, 482, 24, backpack
00:00:06, 193, 1, 3, 261, 249, 371, 478, 0, person
00:00:06, 193, 2, 3, 346, 450, 493, 481, 28, suitcase
00:00:06, 193, 3, 3, 325, 350, 416, 460, 28, suitcase
00:00:06, 206, 1, 1, 262, 252, 365, 478, 0, person
00:00:07, 219, 1, 1, 262, 251, 361, 479, 0, person
00:00:07, 233, 1, 1, 260, 255, 360, 478, 0, person
00:00:08, 260, 1, 1, 262, 262, 373, 479, 0, person
00:00:08, 267, 1, 1, 265, 261, 370, 479, 0, person
00:00:09, 286, 1, 2, 263, 252, 408, 476, 0, person
00:00:09, 286, 2, 2, 347, 451, 491, 481, 38, tennis racket
00:00:09, 293, 1, 1, 262, 251, 372, 478, 0, person
