Time,FPos,Idx,Total,Left,Top,Right,Bottom,Label,Class
00:00:00, 8, 1, 1, 338, 16, 430, 430, 0, person
00:00:00, 20, 1, 1, 335, 22, 421, 430, 0, person
00:00:00, 26, 1, 1, 335, 38, 417, 430, 0, person
00:00:01, 32, 1, 1, 335, 32, 415, 429, 0, person
00:00:01, 49, 1, 1, 334, 33, 419, 429, 0, person
00:00:02, 60, 1, 1, 333, 44, 412, 429, 0, person
00:00:02, 71, 1, 1, 332, 35, 414, 428, 0, person
00:00:02, 82, 1, 1, 330, 32, 416, 428, 0, person
00:00:03, 100, 1, 1, 327, 34, 435, 427, 0, person
00:00:03, 116, 1, 1, 323, 56, 428, 427, 0, person
00:00:04, 122, 1, 1, 329, 17, 438, 429, 0, person
00:00:04, 128, 1, 1, 331, 26, 423, 429, 0, person
00:00:04, 133, 1, 1, 332, 53, 418, 427, 0, person
00:00:04, 139, 1, 1, 332, 70, 420, 424, 0, person
00:00:05, 151, 1, 1, 332, 45, 420, 428, 0, person
00:00:05, 157, 1, 1, 329, 71, 418, 425, 0, person
00:00:05, 175, 1, 1, 330, 75, 417, 425, 0, person
00:00:07, 211, 1, 1, 326, 77, 422, 425, 0, person
00:00:07, 229, 1, 1, 322, 75, 438, 426, 0, person
00:00:07, 235, 1, 1, 320, 36, 442, 431, 0, person
00:00:08, 247, 1, 1, 330, 14, 430, 431, 0, person
00:00:08, 253, 1, 1, 331, 49, 422, 426, 0, person
00:00:08, 265, 1, 1, 329, 20, 427, 430, 0, person
00:00:09, 271, 1, 1, 330, 23, 426, 430, 0, person
00:00:09, 283, 1, 1, 332, 59, 418, 427, 0, person
00:00:10, 301, 1, 1, 317, 44, 437, 437, 0, person
00:00:10, 307, 1, 1, 319, 74, 478, 440, 0, person
00:00:10, 314, 1, 2, 323, 175, 510, 479, 0, person
00:00:10, 314, 2, 2, 259, 106, 363, 375, 58, pottedplant
00:00:10, 320, 1, 3, 316, 260, 575, 481, 0, person
00:00:10, 320, 2, 3, 322, 308, 386, 424, 56, chair
00:00:10, 320, 3, 3, 261, 105, 362, 380, 58, pottedplant
00:00:10, 326, 1, 1, 315, 248, 457, 481, 0, person
00:00:11, 332, 1, 1, 317, 184, 454, 477, 0, person
00:00:11, 338, 1, 1, 325, 113, 483, 476, 0, person
00:00:11, 344, 1, 1, 323, 99, 484, 474, 0, person
00:00:12, 363, 1, 2, 327, 116, 472, 475, 0, person
00:00:12, 363, 2, 2, 309, 272, 586, 478, 1, bicycle
00:00:13, 400, 1, 4, 396, 138, 542, 480, 0, person
00:00:13, 400, 2, 4, 309, 310, 393, 472, 56, chair
00:00:13, 400, 3, 4, 260, 104, 363, 373, 58, pottedplant
00:00:13, 400, 4, 4, 269, 279, 320, 366, 56, chair
00:00:14, 420, 1, 4, 396, 126, 542, 478, 0, person
00:00:14, 420, 2, 4, 309, 310, 393, 472, 56, chair
00:00:14, 420, 3, 4, 260, 103, 362, 373, 58, pottedplant
00:00:14, 420, 4, 4, 269, 279, 320, 365, 56, chair
00:00:14, 426, 1, 4, 393, 125, 530, 479, 0, person
00:00:14, 426, 2, 4, 310, 309, 392, 472, 56, chair
00:00:14, 426, 3, 4, 269, 279, 319, 366, 56, chair
00:00:14, 426, 4, 4, 262, 104, 362, 373, 58, pottedplant
00:00:14, 432, 1, 4, 378, 124, 511, 475, 0, person
00:00:14, 432, 2, 4, 313, 289, 398, 469, 56, chair
00:00:14, 432, 3, 4, 263, 104, 362, 375, 58, pottedplant
00:00:14, 432, 4, 4, 268, 296, 319, 364, 56, chair
00:00:14, 439, 1, 2, 370, 126, 503, 476, 0, person
00:00:14, 439, 2, 2, 268, 274, 323, 366, 56, chair
00:00:14, 445, 1, 2, 341, 122, 475, 472, 0, person
00:00:14, 445, 2, 2, 268, 265, 327, 368, 56, chair
00:00:15, 464, 1, 1, 319, 121, 432, 471, 0, person
00:00:15, 470, 1, 1, 321, 105, 448, 437, 0, person
00:00:16, 483, 1, 1, 320, 89, 430, 434, 0, person
00:00:16, 496, 1, 1, 314, 84, 420, 425, 0, person
00:00:16, 502, 1, 1, 315, 74, 422, 396, 0, person
00:00:16, 509, 1, 1, 307, 56, 425, 377, 0, person
00:00:17, 523, 1, 1, 303, 45, 424, 374, 0, person
