Time,FPos,Idx,Total,Left,Top,Right,Bottom,Label,Class
00:00:00, 13, 1, 1, 171, 326, 297, 476, 0, person
00:00:01, 31, 1, 1, 179, 331, 304, 472, 0, person
00:00:01, 43, 1, 1, 181, 323, 306, 475, 0, person
00:00:01, 55, 1, 1, 176, 318, 301, 478, 0, person
00:00:02, 73, 1, 1, 176, 315, 299, 478, 0, person
00:00:02, 79, 1, 1, 176, 310, 295, 478, 0, person
00:00:02, 85, 1, 1, 177, 311, 296, 479, 0, person
00:00:03, 97, 1, 1, 175, 312, 297, 476, 0, person
00:00:03, 104, 1, 1, 173, 310, 298, 479, 0, person
00:00:03, 110, 1, 1, 172, 304, 295, 479, 0, person
00:00:04, 122, 1, 1, 170, 321, 299, 478, 0, person
00:00:04, 128, 1, 1, 172, 328, 300, 478, 0, person
00:00:04, 140, 1, 1, 180, 321, 299, 473, 0, person
00:00:04, 146, 1, 1, 183, 320, 301, 473, 0, person
00:00:05, 153, 1, 1, 185, 318, 299, 476, 0, person
00:00:05, 159, 1, 1, 186, 316, 289, 477, 0, person
00:00:06, 184, 1, 1, 187, 315, 297, 477, 0, person
00:00:06, 197, 1, 1, 175, 307, 269, 478, 0, person
00:00:06, 203, 1, 1, 171, 303, 263, 476, 0, person
00:00:07, 216, 1, 1, 166, 298, 267, 480, 0, person
00:00:07, 235, 1, 1, 167, 302, 266, 480, 0, person
00:00:08, 248, 1, 1, 168, 300, 273, 479, 0, person
00:00:08, 254, 1, 1, 168, 299, 276, 480, 0, person
00:00:09, 280, 1, 1, 169, 302, 285, 479, 0, person
00:00:09, 293, 1, 1, 170, 300, 279, 480, 0, person
00:00:10, 300, 1, 1, 169, 301, 276, 479, 0, person
