Time,FPos,Idx,Total,Left,Top,Right,Bottom,Label,Class
00:00:00, 8, 1, 1, 348, 193, 454, 441, 0, person
00:00:00, 15, 1, 1, 348, 190, 453, 441, 0, person
00:00:00, 21, 1, 1, 350, 182, 449, 438, 0, person
00:00:01, 40, 1, 1, 345, 164, 432, 435, 0, person
00:00:01, 46, 1, 1, 341, 164, 430, 438, 0, person
00:00:01, 52, 1, 1, 341, 163, 429, 439, 0, person
00:00:01, 57, 1, 1, 338, 165, 426, 437, 0, person
00:00:02, 69, 1, 1, 333, 168, 424, 444, 0, person
00:00:02, 76, 1, 1, 330, 173, 421, 447, 0, person
00:00:02, 82, 1, 1, 325, 177, 418, 454, 0, person
00:00:02, 88, 1, 1, 327, 183, 418, 462, 0, person
00:00:03, 94, 1, 1, 325, 195, 423, 469, 0, person
00:00:03, 106, 1, 1, 320, 206, 417, 478, 0, person
00:00:03, 112, 1, 1, 318, 206, 416, 478, 0, person
00:00:03, 118, 1, 1, 327, 208, 418, 478, 0, person
00:00:04, 136, 1, 1, 320, 212, 417, 478, 0, person
00:00:04, 143, 1, 1, 327, 212, 419, 476, 0, person
00:00:05, 161, 1, 1, 329, 218, 427, 471, 0, person
00:00:06, 192, 1, 1, 329, 160, 425, 423, 0, person
00:00:06, 199, 1, 1, 324, 145, 423, 423, 0, person
00:00:06, 205, 1, 1, 324, 144, 426, 421, 0, person
00:00:07, 211, 1, 1, 323, 144, 429, 422, 0, person
00:00:07, 230, 1, 1, 323, 144, 427, 417, 0, person
00:00:07, 236, 1, 1, 323, 146, 427, 418, 0, person
00:00:08, 242, 1, 1, 324, 143, 425, 413, 0, person
00:00:08, 249, 1, 1, 324, 142, 423, 411, 0, person
00:00:09, 273, 1, 2, 318, 125, 417, 391, 0, person
00:00:09, 273, 2, 2, 303, 345, 360, 398, 36, skateboard
00:00:09, 286, 1, 1, 315, 105, 412, 375, 0, person
00:00:09, 293, 1, 1, 316, 103, 410, 375, 0, person
00:00:09, 299, 1, 1, 313, 99, 407, 370, 0, person
00:00:10, 306, 1, 1, 312, 97, 405, 365, 0, person
00:00:10, 319, 1, 1, 308, 87, 399, 361, 0, person
00:00:10, 326, 1, 1, 304, 90, 400, 361, 0, person
00:00:11, 340, 1, 1, 294, 84, 395, 358, 0, person
00:00:11, 347, 1, 1, 290, 90, 395, 359, 0, person
00:00:11, 354, 1, 1, 287, 91, 394, 359, 0, person
00:00:12, 367, 1, 1, 288, 77, 387, 357, 0, person
00:00:12, 375, 1, 1, 289, 84, 386, 359, 0, person
00:00:12, 381, 1, 1, 289, 90, 385, 361, 0, person
00:00:13, 395, 1, 1, 288, 88, 386, 358, 0, person
00:00:14, 431, 1, 1, 365, 88, 623, 169, 0, person
00:00:14, 438, 1, 1, 358, 85, 625, 174, 0, person
00:00:15, 452, 1, 1, 362, 96, 624, 181, 0, person
00:00:15, 466, 1, 1, 363, 102, 624, 187, 0, person
00:00:16, 487, 1, 1, 363, 105, 624, 190, 0, person
00:00:16, 493, 1, 1, 361, 106, 622, 192, 0, person
00:00:16, 506, 1, 1, 357, 102, 611, 195, 0, person
00:00:17, 513, 1, 1, 346, 109, 611, 198, 0, person
00:00:17, 521, 1, 1, 344, 108, 610, 201, 0, person
00:00:17, 534, 1, 1, 350, 123, 607, 211, 0, person
00:00:18, 540, 1, 1, 346, 137, 606, 215, 0, person
00:00:18, 548, 1, 1, 343, 137, 609, 220, 0, person
00:00:18, 554, 1, 1, 348, 145, 609, 226, 0, person
00:00:19, 587, 1, 1, 348, 147, 608, 233, 0, person
00:00:19, 594, 1, 1, 347, 150, 611, 233, 0, person
