Time,FPos,Idx,Total,Left,Top,Right,Bottom,Label,Class
00:00:00, 18, 1, 1, 310, 214, 453, 472, 0, person
00:00:00, 23, 1, 1, 314, 219, 454, 476, 0, person
00:00:01, 34, 1, 1, 317, 215, 456, 471, 0, person
00:00:01, 44, 1, 1, 320, 215, 460, 475, 0, person
00:00:01, 54, 1, 1, 322, 211, 463, 470, 0, person
00:00:01, 59, 1, 1, 325, 212, 464, 469, 0, person
00:00:02, 65, 1, 2, 327, 215, 465, 468, 0, person
00:00:02, 65, 2, 2, 304, 296, 416, 443, 1, bicycle
00:00:02, 71, 1, 1, 329, 217, 465, 468, 0, person
00:00:02, 86, 1, 1, 326, 218, 466, 468, 0, person
00:00:03, 91, 1, 1, 326, 217, 466, 471, 0, person
00:00:03, 108, 1, 1, 334, 221, 466, 471, 0, person
00:00:03, 113, 1, 1, 335, 226, 465, 471, 0, person
00:00:04, 129, 1, 2, 333, 234, 466, 472, 0, person
00:00:04, 129, 2, 2, 319, 355, 395, 442, 38, tennis racket
00:00:04, 134, 1, 2, 329, 235, 467, 469, 0, person
00:00:04, 134, 2, 2, 329, 355, 395, 433, 38, tennis racket
00:00:04, 140, 1, 2, 326, 235, 468, 468, 0, person
00:00:04, 140, 2, 2, 328, 338, 395, 432, 1, bicycle
00:00:04, 145, 1, 1, 325, 234, 468, 467, 0, person
00:00:05, 156, 1, 1, 325, 232, 466, 468, 0, person
00:00:05, 173, 1, 1, 331, 244, 469, 468, 0, person
00:00:06, 184, 1, 2, 332, 236, 470, 469, 0, person
00:00:06, 184, 2, 2, 302, 367, 403, 443, 38, tennis racket
00:00:06, 190, 1, 1, 332, 242, 467, 470, 0, person
00:00:06, 196, 1, 1, 328, 242, 468, 470, 0, person
00:00:06, 201, 1, 1, 328, 243, 470, 472, 0, person
00:00:07, 230, 1, 1, 331, 235, 469, 470, 0, person
00:00:07, 236, 1, 1, 326, 232, 470, 469, 0, person
00:00:08, 241, 1, 1, 325, 229, 470, 469, 0, person
00:00:08, 247, 1, 1, 324, 236, 470, 471, 0, person
00:00:08, 253, 1, 1, 326, 242, 470, 469, 0, person
00:00:08, 258, 1, 1, 335, 239, 470, 470, 0, person
00:00:08, 264, 1, 1, 334, 236, 472, 471, 0, person
00:00:09, 270, 1, 1, 335, 235, 469, 470, 0, person
00:00:09, 276, 1, 1, 340, 242, 471, 472, 0, person
00:00:09, 293, 1, 1, 333, 232, 473, 471, 0, person
00:00:09, 299, 1, 1, 336, 231, 473, 469, 0, person
00:00:10, 323, 1, 1, 336, 233, 472, 468, 0, person
00:00:11, 341, 1, 1, 339, 256, 471, 474, 0, person
00:00:11, 346, 1, 2, 338, 265, 472, 473, 0, person
00:00:11, 346, 2, 2, 323, 382, 386, 455, 38, tennis racket
00:00:11, 353, 1, 1, 335, 284, 472, 475, 0, person
00:00:12, 365, 1, 2, 320, 293, 469, 475, 0, person
00:00:12, 365, 2, 2, 324, 362, 446, 473, 1, bicycle
00:00:12, 376, 1, 1, 326, 263, 473, 476, 0, person
00:00:12, 383, 1, 2, 329, 251, 471, 473, 0, person
00:00:12, 383, 2, 2, 305, 338, 404, 440, 1, bicycle
00:00:12, 389, 1, 2, 333, 247, 471, 473, 0, person
00:00:12, 389, 2, 2, 327, 329, 399, 434, 1, bicycle
00:00:13, 395, 1, 2, 332, 242, 472, 474, 0, person
00:00:13, 395, 2, 2, 309, 334, 400, 452, 1, bicycle
00:00:13, 407, 1, 2, 323, 240, 466, 476, 0, person
00:00:13, 407, 2, 2, 307, 348, 402, 468, 38, tennis racket
00:00:14, 420, 1, 1, 330, 244, 470, 474, 0, person
00:00:14, 427, 1, 1, 332, 247, 472, 476, 0, person
00:00:14, 433, 1, 1, 332, 246, 473, 476, 0, person
00:00:14, 440, 1, 1, 334, 245, 473, 475, 0, person
00:00:14, 446, 1, 1, 331, 247, 474, 474, 0, person
00:00:15, 459, 1, 2, 331, 247, 476, 475, 0, person
00:00:15, 459, 2, 2, 317, 358, 408, 478, 1, bicycle
00:00:15, 471, 1, 2, 340, 240, 476, 475, 0, person
00:00:15, 471, 2, 2, 317, 350, 412, 476, 38, tennis racket
00:00:15, 478, 1, 2, 339, 242, 476, 472, 0, person
00:00:15, 478, 2, 2, 320, 345, 409, 445, 1, bicycle
00:00:16, 484, 1, 2, 337, 245, 475, 474, 0, person
00:00:16, 484, 2, 2, 321, 338, 408, 446, 1, bicycle
00:00:16, 490, 1, 2, 338, 247, 474, 474, 0, person
00:00:16, 490, 2, 2, 316, 336, 409, 475, 1, bicycle
00:00:16, 497, 1, 2, 336, 246, 474, 474, 0, person
00:00:16, 497, 2, 2, 307, 303, 410, 479, 1, bicycle
00:00:16, 503, 1, 2, 342, 249, 473, 476, 0, person
00:00:16, 503, 2, 2, 307, 353, 408, 480, 1, bicycle
00:00:17, 516, 1, 2, 342, 225, 467, 469, 0, person
00:00:17, 516, 2, 2, 312, 298, 399, 467, 1, bicycle
00:00:17, 535, 1, 1, 333, 228, 466, 474, 0, person
00:00:18, 554, 1, 1, 324, 374, 511, 478, 0, person
00:00:18, 560, 1, 1, 402, 379, 523, 479, 0, person
00:00:19, 579, 1, 1, 407, 386, 557, 479, 0, person
00:00:20, 605, 1, 1, 403, 385, 554, 480, 0, person
